Population	Region	Continent
Lao People's Democratic Republic 	South-Eastern Asia	Asia
Lebanon 	Western Asia	Asia
Lesotho 	Southern Africa	Africa
Latvia 	Northern Europe	Europe
Liberia 	Western Africa	Africa
Libya 	Northern Africa	Africa
Lithuania 	Northern Europe	Europe
Luxembourg 	Western Europe	Europe
Madagascar 	Eastern Africa	Africa
Malawi 	Eastern Africa	Africa
Malaysia 	South-Eastern Asia	Asia
Maldives 	South Central Asia	Asia
Mali 	Western Africa	Africa
Malta 	Southern Europe	Europe
France, Martinique 	Caribbean	Latin America and the Caribbean
Mauritania 	Western Africa	Africa
Mauritius 	Eastern Africa	Africa
Mexico 	Central America	Latin America and the Caribbean
Mongolia 	Eastern Asia	Asia
Republic of Moldova 	Eastern Europe	Europe
Montenegro 	Southern Europe	Europe
Morocco 	Northern Africa	Africa
Mozambique 	Eastern Africa	Africa
Oman 	Western Asia	Asia
Namibia 	Southern Africa	Africa
Nepal 	South Central Asia	Asia
The Netherlands 	Western Europe	Europe
New Caledonia 	Melanesia	Oceania
Vanuatu 	Melanesia	Oceania
New Zealand 	Australia/New Zealand	Oceania
Nicaragua 	Central America	Latin America and the Caribbean
Niger 	Western Africa	Africa
Nigeria 	Western Africa	Africa
Norway 	Northern Europe	Europe
Pakistan 	South Central Asia	Asia
Panama 	Central America	Latin America and the Caribbean
Papua New Guinea 	Melanesia	Oceania
Paraguay 	South America	Latin America and the Caribbean
Peru 	South America	Latin America and the Caribbean
Philippines 	South-Eastern Asia	Asia
Poland 	Eastern Europe	Europe
Portugal 	Southern Europe	Europe
Guinea-Bissau 	Western Africa	Africa
Timor-Leste 	South-Eastern Asia	Asia
Puerto Rico 	Caribbean	Latin America and the Caribbean
Qatar 	Western Asia	Asia
France, La Réunion 	Eastern Africa	Africa
Romania 	Eastern Europe	Europe
Russian Federation 	Eastern Europe	Europe
Rwanda 	Eastern Africa	Africa
Saint Lucia 	Caribbean	Latin America and the Caribbean
Sao Tome and Principe 	Western Africa	Africa
Saudi Arabia 	Western Asia	Asia
Senegal 	Western Africa	Africa
Serbia 	Southern Europe	Europe
Sierra Leone 	Western Africa	Africa
Singapore 	South-Eastern Asia	Asia
Slovakia 	Eastern Europe	Europe
Viet Nam 	South-Eastern Asia	Asia
Slovenia 	Southern Europe	Europe
Somalia 	Eastern Africa	Africa
South Africa 	Southern Africa	Africa
Zimbabwe 	Eastern Africa	Africa
Spain 	Southern Europe	Europe
South Sudan 	Eastern Africa	Africa
Sudan 	Northern Africa	Africa
Suriname 	South America	Latin America and the Caribbean
Eswatini 	Southern Africa	Africa
Sweden 	Northern Europe	Europe
Switzerland 	Western Europe	Europe
Syrian Arab Republic 	Western Asia	Asia
Tajikistan 	South Central Asia	Asia
Thailand 	South-Eastern Asia	Asia
Togo 	Western Africa	Africa
Trinidad and Tobago 	Caribbean	Latin America and the Caribbean
United Arab Emirates 	Western Asia	Asia
Tunisia 	Northern Africa	Africa
Türkiye 	Western Asia	Asia
Turkmenistan 	South Central Asia	Asia
Uganda 	Eastern Africa	Africa
Ukraine 	Eastern Europe	Europe
North Macedonia 	Southern Europe	Europe
Egypt 	Northern Africa	Africa
United Kingdom 	Northern Europe	Europe
Tanzania, United Republic of 	Eastern Africa	Africa
United States of America 	Northern America	Northern America
Burkina Faso 	Western Africa	Africa
Uruguay 	South America	Latin America and the Caribbean
Uzbekistan 	South Central Asia	Asia
Venezuela 	South America	Latin America and the Caribbean
Samoa 	Polynesia	Oceania
Yemen 	Western Asia	Asia
Zambia 	Eastern Africa	Africa
